#{"t_start": 1713060312.560961, "env_id": "SingleDC-v0"}
r,l,t,ep_job_wait_rew_mean,ep_util_rew_mean,ep_valid_count
-648.783828,2517,148.099749,0.06763119685372436,0.00547079856972565,118
-581.034817,2382,151.47845,0.06121602328287684,0.005818261964735284,120
-700.925939,2644,155.218467,0.0710354851447716,0.005234058245083022,116
-499.894061,2203,158.742081,0.05301462881808203,0.007283749432591441,156
-565.852287,2355,162.057452,0.05983839882949488,0.0062289171974519,154
-173.277177,798,163.041791,0.03953299458363856,0.021863909774435964,154
-460.322237,2065,165.974385,0.05080537856352722,0.0076449878934620324,144
-587.884643,2363,169.31574,0.06341984313495067,0.005895895048666704,124
-537.295173,2275,172.514672,0.05736919904562684,0.006796879120878714,146
-506.956434,2180,175.5923,0.05528692436903068,0.007538944954127977,154
-508.721702,2207,179.15742,0.054441987181523536,0.007424694154961004,154
-169.910641,798,180.163328,0.03851032369697594,0.020762593984962215,150
-538.876903,2320,183.515725,0.05597047686178951,0.006811681034482291,168
-526.318532,2293,186.744593,0.05447679430812125,0.006324923680767214,128
-511.118466,2213,189.995517,0.055263876863024426,0.006637754179845986,146
-510.704552,2205,193.19246,0.05557480662285282,0.006671020408162909,148
-512.367527,2259,196.508705,0.05375448742496946,0.006418326693226759,156
-634.704482,2493,200.40125,0.0660719282012528,0.005806137184115239,128
-584.265799,2366,203.732597,0.06244972935644622,0.006146893491123959,130
-643.47677,2539,207.293888,0.06566362608962133,0.0054744387554153005,118
-184.548959,807,208.336753,0.046094029447007134,0.018282713754646712,116
-465.494784,2143,211.469745,0.04854871811776768,0.007474451703219338,156
-510.046931,2249,215.114966,0.053465348635463886,0.0067908181413957654,160
-547.894397,2290,218.400153,0.058663374891755854,0.006202336244541191,112
-461.258274,2121,221.444559,0.04889263236221336,0.007406859971710985,162
-461.988433,2101,224.456882,0.04987127305423836,0.007334721561160922,152
-280.711141,1297,226.17906,0.045878190773423214,0.013177332305320194,192
-562.399003,2337,230.02807,0.05974833184448642,0.006124390243902142,134
-304.825512,1312,231.705261,0.05210448215102112,0.012248780487805411,140
-400.590131,1935,234.617416,0.04248910025850958,0.009299302325580943,156
-539.047446,2277,237.920072,0.057364119670255044,0.007052371541501518,146
-507.328211,2245,241.172238,0.052198639224423644,0.007820378619153186,166
-574.922965,2332,244.568382,0.06222986025416306,0.0059499571183530935,116
-495.880878,2179,248.105756,0.052243549849271376,0.008798852684717263,176
-436.800617,2004,250.697526,0.048206500717526114,0.008021182634730069,140
-544.822197,2257,254.367254,0.059095785936800926,0.006883385024368202,118
-360.225856,1776,256.682008,0.03860874724326659,0.01242820945945899,188
-398.19983,1902,259.606549,0.04218426576686556,0.011049132492113131,170
-396.474025,1900,262.421681,0.042020769071030625,0.010907289473683785,170
-541.278763,2279,265.723467,0.05734859305352024,0.007215006581833654,136
-401.962332,1919,268.536064,0.042387310890069974,0.011514747264199656,198
